Vuosi,y_coord,x_coord,Onnettomuustyyppi 1
2010,6667991,3375825,21 Rakennuspalo
2010,6678513,3383890,21 Rakennuspalo
2010,6680395,3393458,21 Rakennuspalo
2010,6677871,3390829,21 Rakennuspalo
2010,6675214,3386745,21 Rakennuspalo
2010,6674218,3383969,21 Rakennuspalo
2010,6684302,3386213,21 Rakennuspalo
2010,6675934,3386660,21 Rakennuspalo
2010,6683149,3383182,21 Rakennuspalo
2010,6682881,3387492,21 Rakennuspalo
2010,6675335,3384685,21 Rakennuspalo
2010,6689366,3386307,21 Rakennuspalo
2010,6690819,3391633,21 Rakennuspalo
2010,6687399,3396436,21 Rakennuspalo
2010,6680116,3378293,21 Rakennuspalo
2010,6691327,3390137,21 Rakennuspalo
2010,6692703,3392699,21 Rakennuspalo
2010,6673358,3369441,21 Rakennuspalo
2010,6674047,3385803,21 Rakennuspalo
2010,6678697,3378431,21 Rakennuspalo
2010,6674218,3368313,21 Rakennuspalo
2010,6678396,3392481,21 Rakennuspalo
2010,6677844,3387154,21 Rakennuspalo
2010,6680115,3378297,21 Rakennuspalo
2010,6674405,3393682,21 Rakennuspalo
2010,6678924,3387323,21 Rakennuspalo
2010,6680387,3387548,21 Rakennuspalo
2010,6683015,3395409,21 Rakennuspalo
2010,6678479,3395748,21 Rakennuspalo
2010,6687201,3390467,21 Rakennuspalo
2010,6686955,3395896,21 Rakennuspalo
2010,6681588,3390747,21 Rakennuspalo
2010,6680553,3392666,21 Rakennuspalo
2010,6675645,3384951,21 Rakennuspalo
2010,6679042,3394118,21 Rakennuspalo
2010,6679067,3397612,21 Rakennuspalo
2010,6678223,3391002,21 Rakennuspalo
2010,6672797,3373227,21 Rakennuspalo
2010,6683648,3389646,21 Rakennuspalo
2010,6678135,3398483,21 Rakennuspalo
2010,6680569,3378593,21 Rakennuspalo
2010,6674029,3375770,21 Rakennuspalo
2010,6678241,3382786,21 Rakennuspalo
2010,6677806,3387046,21 Rakennuspalo
2010,6677806,3387046,21 Rakennuspalo
2010,6686593,3390764,21 Rakennuspalo
2010,6694522,3382957,21 Rakennuspalo
2010,6677039,3384074,21 Rakennuspalo
2010,6678467,3394213,21 Rakennuspalo
2010,6679953,3387467,21 Rakennuspalo
2010,6686972,3381638,21 Rakennuspalo
2010,6679594,3391505,21 Rakennuspalo
2010,6682375,3392951,21 Rakennuspalo
2010,6689980,3387763,21 Rakennuspalo
2010,6682144,3390456,21 Rakennuspalo
2010,6683534,3382056,21 Rakennuspalo
2010,6676940,3384536,21 Rakennuspalo
2010,6675217,3386850,21 Rakennuspalo
2010,6675140,3386086,21 Rakennuspalo
2010,6683245,3383867,21 Rakennuspalo
2010,6675271,3385267,21 Rakennuspalo
2010,6679893,3386531,21 Rakennuspalo
2010,6679874,3396939,21 Rakennuspalo
2010,6680560,3387280,21 Rakennuspalo
2010,6684057,3388356,21 Rakennuspalo
2010,6678113,3387334,21 Rakennuspalo
2010,6673795,3386260,21 Rakennuspalo
2010,6671655,3370460,21 Rakennuspalo
2010,6678273,3397037,21 Rakennuspalo
2010,6677878,3385300,21 Rakennuspalo
2010,6678048,3386160,21 Rakennuspalo
2010,6684504,3393932,21 Rakennuspalo
2010,6679118,3393275,21 Rakennuspalo
2010,6690038,3376457,21 Rakennuspalo
2010,6678091,3395826,21 Rakennuspalo
2010,6676042,3386452,21 Rakennuspalo
2010,6678273,3397037,21 Rakennuspalo
2010,6689092,3392908,21 Rakennuspalo
2010,6683136,3388738,21 Rakennuspalo
